# File: iso_GCAM_regID.csv,,,
# Title: ISO to GCAM region mapping,,,
# Units: NA,,,
# Description: Maps iso codes to GCAM regions (including composites as necessary),,,
# Column types: ccci,,,
# ----------,,,
iso,country_name,region_GCAM3,GCAM_region_ID
pri,Puerto Rico,USA,1
usa,United States of America,USA,1
vir,"Virgin Islands, U.S.",Latin America,1
bdi,Burundi,Africa,2
com,Comoros,Africa,2
dji,Djibouti,Africa,2
eri,Eritrea,Africa,2
eth,Ethiopia,Africa,2
ken,Kenya,Africa,2
mdg,Madagascar,Africa,2
mus,Mauritius,Africa,2
reu,Reunion,Africa,2
rwa,Rwanda,Africa,2
sdn,Sudan,Africa,2
som,Somalia,Africa,2
ssd,South Sudan,Africa,2
uga,Uganda,Africa,2
dza,Algeria,Africa,3
egy,Egypt,Africa,3
esh,Western Sahara,Africa,3
lby,Libyan Arab Jamahiriya,Africa,3
mar,Morocco,Africa,3
tun,Tunisia,Africa,3
ago,Angola,Africa,4
bwa,Botswana,Africa,4
lso,Lesotho,Africa,4
moz,Mozambique,Africa,4
mwi,Malawi,Africa,4
nam,Namibia,Africa,4
swz,Swaziland,Africa,4
tza,"Tanzania, United Republic of",Africa,4
zmb,Zambia,Africa,4
zwe,Zimbabwe,Africa,4
ben,Benin,Africa,5
bfa,Burkina Faso,Africa,5
caf,Central African Republic,Africa,5
civ,Cote dIvoire,Africa,5
cmr,Cameroon,Africa,5
cod,"Congo, the Democratic Republic of the",Africa,5
cog,Congo,Africa,5
cpv,Cape Verde,Africa,5
gab,Gabon,Africa,5
gha,Ghana,Africa,5
gin,Guinea,Africa,5
gmb,Gambia,Africa,5
gnb,Guinea-Bissau,Africa,5
gnq,Equatorial Guinea,Africa,5
lbr,Liberia,Africa,5
mli,Mali,Africa,5
mrt,Mauritania,Africa,5
ner,Niger,Africa,5
nga,Nigeria,Africa,5
sen,Senegal,Africa,5
sle,Sierra Leone,Africa,5
stp,Sao Tome and Principe,Africa,5
tcd,Chad,Africa,5
tgo,Togo,Africa,5
aus,Australia,Australia_NZ,6
nzl,New Zealand,Australia_NZ,6
wlf,Wallis and Futuna,Australia_NZ,6
bra,Brazil,Latin America,7
can,Canada,Canada,8
spm,Saint Pierre and Miquelon,Canada,8
abw,Aruba,Latin America,9
aia,Anguilla,Latin America,9
ant,Netherlands Antilles,Latin America,9
atg,Antigua & Barbuda,Latin America,9
bhs,Bahamas,Latin America,9
blz,Belize,Latin America,9
bmu,Bermuda,Western Europe,9
brb,Barbados,Latin America,9
cri,Costa Rica,Latin America,9
cub,Cuba,Latin America,9
cuw,Curacao,Latin America,9
cym,Cayman Islands,Latin America,9
dma,Dominica,Latin America,9
dom,Dominican Republic,Latin America,9
glp,Guadeloupe,Latin America,9
grd,Grenada,Latin America,9
gtm,Guatemala,Latin America,9
hnd,Honduras,Latin America,9
hti,Haiti,Latin America,9
jam,Jamaica,Latin America,9
kna,Saint Kitts and Nevis,Latin America,9
lca,Saint Lucia,Latin America,9
msr,Montserrat,Latin America,9
mtq,Martinique,Western Europe,9
nic,Nicaragua,Latin America,9
pan,Panama,Latin America,9
slv,El Salvador,Latin America,9
tca,Turks and Caicos,Latin America,9
tto,Trinidad and Tobago,Latin America,9
vct,Saint Vincent and the Grenadines,Latin America,9
vgb,"Virgin Islands, British",Latin America,9
arm,Armenia,Former Soviet Union,10
aze,Azerbaijan,Former Soviet Union,10
geo,Georgia,Former Soviet Union,10
kaz,Kazakhstan,Former Soviet Union,10
kgz,Kyrgyzstan,Former Soviet Union,10
mng,Mongolia,China,10
tjk,Tajikistan,Former Soviet Union,10
tkm,Turkmenistan,Former Soviet Union,10
uzb,Uzbekistan,Former Soviet Union,10
chn,China,China,11
hkg,Hong Kong,Southeast Asia,11
mac,Macau,Southeast Asia,11
and,Andorra,Western Europe,12
esp,Spain,Western Europe,12
gib,Gibraltar,Western Europe,12
ita,Italy,Western Europe,12
mlt,Malta,Western Europe,12
prt,Portugal,Western Europe,12
smr,San Marino,Western Europe,12
vat,Vatican,Western Europe,12
bel,Belgium,Western Europe,13
deu,Germany,Western Europe,13
fra,France,Western Europe,13
lux,Luxembourg,Western Europe,13
mco,Monaco,Western Europe,13
nld,Netherlands,Western Europe,13
dnk,Denmark,Western Europe,13
blr,Belarus,Former Soviet Union,14
mda,"Moldova, Republic of",Former Soviet Union,14
alb,Albania,Eastern Europe,15
bih,Bosnia and Herzegovina,Eastern Europe,15
mkd,"Macedonia, the former Yugoslav Republic of",Eastern Europe,15
mne,Montenegro,Eastern Europe,15
scg,Serbia and Montenegro,Eastern Europe,15
srb,Serbia,Eastern Europe,15
tur,Turkey,Western Europe,15
yug,"Yugoslavia, Federal Republic of",Eastern Europe,15
che,Switzerland,Western Europe,16
lie,Liechtenstein,Western Europe,16
nor,Norway,Western Europe,16
sjm,Svalbard and Jan Mayen Islands,Western Europe,16
isl,Iceland,Western Europe,16
ind,India,India,17
idn,Indonesia,Southeast Asia,18
jpn,Japan,Japan,19
mex,Mexico,Latin America,20
are,United Arab Emirates,Middle East,21
bhr,Bahrain,Middle East,21
irn,"Iran, Islamic Republic of",Middle East,21
irq,Iraq,Middle East,21
isr,Israel,Middle East,21
jor,Jordan,Middle East,21
kwt,Kuwait,Middle East,21
lbn,Lebanon,Middle East,21
omn,Oman,Middle East,21
pse,"Palestinian Territory, Occupied",Middle East,21
qat,Qatar,Middle East,21
sau,Saudi Arabia,Middle East,21
syr,Syrian Arab Republic,Middle East,21
yem,Yemen,Middle East,21
pak,Pakistan,Southeast Asia,22
rus,Russian Federation,Former Soviet Union,23
zaf,South Africa,Africa,24
guf,French Guiana,Latin America,25
guy,Guyana,Latin America,25
sur,Suriname,Latin America,25
ven,Venezuela,Latin America,25
bol,Bolivia,Latin America,26
chl,Chile,Latin America,26
ecu,Ecuador,Latin America,26
per,Peru,Latin America,26
pry,Paraguay,Latin America,26
ury,Uruguay,Latin America,26
afg,Afghanistan,Southeast Asia,27
bgd,Bangladesh,Southeast Asia,27
btn,Bhutan,Southeast Asia,27
lka,Sri Lanka,Southeast Asia,27
mdv,Maldives,Southeast Asia,27
npl,Nepal,Southeast Asia,27
kor,"Korea, Republic of",Korea,28
asm,American Samoa,Southeast Asia,29
brn,Brunei Darussalam,Southeast Asia,29
cck,Cocos (Keeling) Islands,Southeast Asia,29
cok,Cook Islands,Australia_NZ,29
cxr,Christmas Island,Southeast Asia,29
fji,Fiji,Southeast Asia,29
fsm,"Micronesia, Federated States of",Southeast Asia,29
gum,Guam,Southeast Asia,29
khm,Cambodia,China,29
kir,Kiribati,Southeast Asia,29
lao,Lao Peoples Democratic Republic,Southeast Asia,29
mhl,Marshall Islands,Southeast Asia,29
mmr,Myanmar,Southeast Asia,29
mnp,Northern Mariana Islands,Southeast Asia,29
mys,Malaysia,Southeast Asia,29
myt,Mayotte,Africa,29
ncl,New Caledonia,Southeast Asia,29
nfk,Norfolk Island,Australia_NZ,29
niu,Niue,Australia_NZ,29
nru,Nauru,Southeast Asia,29
pci,Pacific Islands Trust Territory,Southeast Asia,29
pcn,Pitcairn Islands,Southeast Asia,29
phl,Philippines,Southeast Asia,29
plw,Palau,Southeast Asia,29
png,Papua New Guinea,Southeast Asia,29
prk,"Korea, Democratic Peoples Republic of",China,29
pyf,French Polynesia,Southeast Asia,29
sgp,Singapore,Southeast Asia,29
slb,Solomon Islands,Southeast Asia,29
syc,Seychelles,Africa,29
tha,Thailand,Southeast Asia,29
tkl,Tokelau,Australia_NZ,29
tls,Timor Leste,Southeast Asia,29
ton,Tonga,Southeast Asia,29
tuv,Tuvalu,Southeast Asia,29
vnm,Viet Nam,China,29
vut,Vanuatu,Southeast Asia,29
wsm,Samoa,Southeast Asia,29
twn,Taiwan,Southeast Asia,30
arg,Argentina,Latin America,31
flk,Falkland Islands (Malvinas),Latin America,31
col,Colombia,Latin America,32
ukr,Ukraine,Former Soviet Union,33
chi,Channel Islands,Western Europe,34
fro,Faroe Islands,Western Europe,34
gbr,United Kingdom,Western Europe,34
ggy,Guernsey,Western Europe,34
grl,Greenland,Western Europe,34
imn,Isle of Man,Western Europe,34
irl,Ireland,Western Europe,34
jey,Jersey,Western Europe,34
shn,Saint Helena,Africa,34
hrv,Croatia,Eastern Europe,35
aut,Austria,Western Europe,35
cze,Czech Republic,Eastern Europe,35
hun,Hungary,Eastern Europe,35
svk,Slovakia,Eastern Europe,35
svn,Slovenia,Eastern Europe,35
pol,Poland,Eastern Europe,36
cyp,Cyprus,Western Europe,37
grc,Greece,Western Europe,37
bgr,Bulgaria,Eastern Europe,37
rom,Romania,Eastern Europe,37
fin,Finland,Western Europe,38
swe,Sweden,Western Europe,38
est,Estonia,Former Soviet Union,38
lva,Latvia,Former Soviet Union,38
ltu,Lithuania,Former Soviet Union,39
